operation,parameter,result,result_description
Measure,Heat Conduction,Incandescence,The emission of light (visible electromagnetic radiation) from a hot body due to its temperature.
Measure,Heat Conduction,Infrared Radiation,"Infrared (IR) radiation is electromagnetic radiation whose wavelength is longer than that of visible light (400-700 nm), but shorter than that of terahertz radiation (3-300 µm) and microwaves (~30,000 µm). Infrared radiation spans roughly three orders of magnitude (750 nm and 1000 µm)."
Measure,Heat Conduction,Liquid Crystals,"Substances that exhibit a phase of matter that has properties between those of a conventional liquid, and those of a solid crystal."
Measure,Heat Conduction,Mirage (photothermal deflection),A naturally occurring optical phenomenon in which light rays are bent to produce a displaced image of distant objects or the sky.
Measure,Heat Conduction,Néel Temperature,"The temperature at which an antiferromagnetic material becomes paramagnetic  that is, the thermal energy becomes large enough to destroy the macroscopic magnetic ordering within the material.The Néel temperature is analogous to the Curie temperature for ferromagnetic materials."
Measure,Heat Conduction,Nernst Effect,The Nernst Effect (or First Nernst-Ettingshausen Effect) is a thermoelectric (or thermomagnetic) phenomenon observed when a sample allowing electrical conduction is subjected to a magnetic field and a temperature gradient normal (perpendicular) to each other. An electric field will be induced normal to both. The inverse is the Ettingshausen Effect (or Second Nernst-Ettingshausen Effect).
Measure,Heat Conduction,Phosphor Thermometry,"An optical method for surface temperature measurement. The method exploits luminescence emitted by phosphor material. Phosphors are fine white or pastel-colored inorganic powders which may be stimulated by any of a variety of means to luminesce, i.e. emit light. Certain characteristics of the emitted light change with temperature, including brightness, color, and afterglow duration. The latter is most commonly used for temperature measurement."
Measure,Heat Conduction,Photography,"The process, activity and art of creating still pictures by recording radiation on a radiation-sensitive medium, such as a photographic film, or electronic image sensors."
Measure,Heat Conduction,Radiation,A process in which energetic particles or waves travel through a medium or space. There are two distinct types of radiation; ionizing and non-ionizing.
Measure,Heat Conduction,Shadowgraph,"An optical method that reveals non-uniformities in transparent media like air, water, or glass. In principle, we cannot directly see a difference in temperature, a different gas, or a shock wave in the transparent air. However, these disturbances refract light rays, so they can cast shadows. The plume of hot air rising from a fire, for example, can be seen by way of its shadow cast upon a nearby surface by the uniform sunlight."
Measure,Heat Conduction,Smoke,"A collection of airborne solid and liquid particulates and gases emitted when a material undergoes combustion or pyrolysis, together with the quantity of air that is entrained or otherwise mixed into the mass."
Measure,Heat Conduction,Thermal Contraction,The tendency of matter to reduce in volume (contract) in response to a change in temperature or when a substance is cooled.
Measure,Heat Conduction,Thermal Expansion,The tendency of matter to change in volume in response to a change in temperature or when a substance is heated.
Measure,Heat Conduction,Thermal Shock,"Cracking as a result of rapid temperature change. Thermal shock occurs when a thermal gradient causes different parts of an object to expand by different amounts. This differential expansion can be understood in terms of stress or of strain, equivalently. At some point, this stress overcomes the strength of the material, causing a crack to form. If nothing stops this crack from propagating through the material, it will cause the object's structure to fail."
Measure,Heat Conduction,Thermistor,"A type of resistor whose resistance varies significantly with temperature, more so than in standard resistors."
Measure,Heat Conduction,Thermochromic Paint,"A paint based on colour-changing pigments. It involves the use of liquid crystals or leuco dye technology. After absorbing a certain amount of light or heat, the crystallic or molecular structure of the pigment reversibly changes in such a way that it absorbs and emits light at a different wavelength than at lower temperatures."
Measure,Heat Conduction,Thermochromism,The ability of substance to change color due to a change in temperature. Thermochromism is one of several types of chromism. The two basic approaches are based on liquid crystals and leuco dyes.
Measure,Heat Conduction,Thermocouple,A junction between two different metals that produces a voltage related to a temperature difference. Thermocouples are a widely used type of temperature sensor for measurement and control and can also be used to convert heat into electricity.
Measure,Heat Conduction,Thermography,"Thermal imaging cameras detect radiation in the infrared range of the electromagnetic spectrum (roughly 9000-14,000 nanometers or 9-14 µm) and produce images of that radiation, called thermograms."
Measure,Heat Conduction,Thermopile,"An electronic device that converts thermal energy into electrical energy. It is composed of several thermocouples connected usually in series or, less commonly, in parallel."
Measure,Homogeneity,Acoustic Emission,"Transient elastic waves within a material due to localised stress release. Acoustic Emission (AE) events can occur rapidly when materials begin to fail. AE events commonly studied include the extension of a fatigue crack, or fibre breakage in composite materials. AE is related to an irreversible release of energy, and can be generated from sources not involving material failure including friction, cavitation and impact."
Measure,Homogeneity,Acoustic Microscopy,"A microscopy technique that employs very high or ultra high frequency ultrasound. Acoustic microscopes operate non-destructively and penetrate most solid materials to make visible images of internal features, including defects such as cracks, delaminations and voids."
Measure,Homogeneity,Acoustics,"The the use of structures or other systems to affect the generation, propagation and reception of mechanical waves and vibrations."
Measure,Homogeneity,Bragg Diffraction,Diffraction from a three dimensional periodic structure such as atoms in a crystal. It is similar to what occurs when waves are scattered from a diffraction grating. Bragg diffraction is a consequence of interference between waves reflecting from different crystal planes.
Measure,Homogeneity,Brazil Nut Effect,A phenomenon in which the largest particles end up on the surface when a granular material containing a mixture of objects of different sizes is shaken. Also known as the muesli effect.
Measure,Homogeneity,Centrifugal Separation,"A process that involves the use of the centrifugal force for the separation of mixtures, used in industry and in laboratory settings. More-dense components of the mixture migrate away from the axis of the centrifuge, while less-dense components of the mixture migrate towards the axis."
Measure,Homogeneity,Density Gradient,Variation of density across an area or through a volume.
Measure,Homogeneity,Dielectric Permittivity,"The measure of how much resistance is encountered when forming an electric field in a medium. In other words, permittivity is a measure of how an electric field affects, and is affected by, a dielectric medium. Permittivity is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or 'permit') an electric field."
Measure,Homogeneity,Diffraction,"Various phenomena which occur when a wave encounters an obstacle. It is described as the apparent bending of waves around small obstacles and the spreading out of waves past small openings. Very similar effects are observed when there is an alteration in the properties of the medium in which the wave is travelling, for example a variation in refractive index for light waves or in acoustic impedance for sound waves and these can also be referred to as diffraction effects."
Measure,Homogeneity,Dispersion (of waves),"In optics, dispersion is the phenomenon in which the phase velocity of a wave depends on its frequency. Media having such a property are termed dispersive media. Dispersion is most often described for light waves, but it may occur for any kind of wave that interacts with a medium or passes through an inhomogeneous geometry (e.g. a waveguide), such as sound waves."
Measure,Homogeneity,Eccentric,"A rotating object (typically circular) having its centre offset from the axis of rotation. It can be used, for example, to convert rotary into linear reciprocating motion."
Measure,Homogeneity,Electrical Impedance Tomography,"A medical imaging technique in which an image of the conductivity or permittivity of part of the body is inferred from surface electrical measurements. Typically, conducting electrodes are attached to the skin of the subject and small alternating currents are applied to some or all of the electrodes. The resulting electrical potentials are measured, and the process may be repeated for numerous different configurations of applied current."
Measure,Homogeneity,Electrical Resistivity Tomography,"Electrical resistivity tomography (ERT) or electrical resistivity imaging (ERI) is a geophysical technique for imaging sub-surface structures from electrical measurements made at the surface, or by electrodes in one or more boreholes. It is closely related to the medical imaging technique electrical impedance tomography (EIT), and mathematically is the same inverse problem. In contrast to medical EIT however ERT is essentially a direct current method."
Measure,Homogeneity,Filter (physical),"A device (usually a membrane or layer) that is designed to block certain objects or substances while letting others through. Filters are often used to remove harmful substances from air or water, for example to remove air pollution, to make water drinkable, to prepare coffee. In domestic food and drink preparation where bulk solids are removed from liquids, this is often called a strainer."
Measure,Homogeneity,Image Processing,"Processing of images using mathematical operations by using any form of signal processing for which the input is an image, a series of images, or a video, such as a photograph or video frame The output of image processing may be either an image or a set of characteristics or parameters related to the image."
Measure,Homogeneity,Moiré Interferometry,A technique to study strains and deformations of structural elements with very high accuracy.
Measure,Homogeneity,Moment of Inertia,"(or mass moment of inertia, rotational inertia, polar moment of inertia of mass, or the angular mass). The inertia of a rotating body with respect to its rotation. The moment of inertia plays much the same role in rotational dynamics as mass does in linear dynamics,"
Measure,Homogeneity,Radioactive Tracing,(or radioactive label) A chemical compound in which one or more atoms have been replaced by a radioisotope. By virtue of its radioactivity it can be used to explore the mechanism of chemical reactions by tracing the path that the radioisotope follows from reactants to products.
Measure,Homogeneity,Refraction,"The change in direction of a wave due to a change in its speed. This is most commonly observed when a wave passes from one medium to another at any angle other than 90° or 0°. Refraction of light is the most commonly observed phenomenon, but any type of wave can refract when it interacts with a medium, for example when sound waves pass from one medium into another or when water waves move into water of a different depth."
Measure,Homogeneity,Scanning Probe Microscopy,"A branch of microscopy that forms images of surfaces using a physical probe that scans the specimen. An image of the surface is obtained by mechanically moving the probe in a raster scan of the specimen, line by line, and recording the probe-surface interaction as a function of position."
Measure,Homogeneity,Scattering,"A general physical process where some forms of radiation, such as light, sound, or moving particles, are forced to deviate from a straight trajectory by one or more localized non-uniformities in the medium through which they pass (includes deviation of reflected radiation from the angle predicted by the law of reflection)."
Measure,Homogeneity,Shadowgraph,"An optical method that reveals non-uniformities in transparent media like air, water, or glass. In principle, we cannot directly see a difference in temperature, a different gas, or a shock wave in the transparent air. However, these disturbances refract light rays, so they can cast shadows. The plume of hot air rising from a fire, for example, can be seen by way of its shadow cast upon a nearby surface by the uniform sunlight."
Measure,Homogeneity,Sonar,"a technique that uses sound propagation (usually underwater) to navigate, communicate with or detect other vessels. There are two kinds of sonar: active and passive. Sonar may be used as a means of acoustic location and of measurement of the echo characteristics of 'targets' in the water."
Measure,Homogeneity,Thermochromic Paint,"A paint based on colour-changing pigments. It involves the use of liquid crystals or leuco dye technology. After absorbing a certain amount of light or heat, the crystallic or molecular structure of the pigment reversibly changes in such a way that it absorbs and emits light at a different wavelength than at lower temperatures."
Measure,Homogeneity,Thermochromism,The ability of substance to change color due to a change in temperature. Thermochromism is one of several types of chromism. The two basic approaches are based on liquid crystals and leuco dyes.
Measure,Homogeneity,Thermography,"Thermal imaging cameras detect radiation in the infrared range of the electromagnetic spectrum (roughly 9000-14,000 nanometers or 9-14 µm) and produce images of that radiation, called thermograms."
Measure,Homogeneity,Tomography,"Imaging by sections or sectioning, through the use of any kind of penetrating wave. The method is used in radiology, archaeology, biology, geophysics, oceanography, materials science, astrophysics and other sciences."
Measure,Homogeneity,Total Internal Reflection,"An optical phenomenon that occurs when a ray of light strikes a medium boundary at an angle larger than a particular critical angle with respect to the normal to the surface. If the refractive index is lower on the other side of the boundary, no light can pass through and all of the light is reflected. The critical angle is the angle of incidence above which the total internal reflection occurs."
Measure,Homogeneity,Tyndall Effect,Light scattering by colloidal particles or particles in suspension
Measure,Homogeneity,X-Ray,"A form of electromagnetic radiation. X-rays have a wavelength in the range of 0.01 to 10 nanometers, corresponding to frequencies in the range 30 petahertz to 30 exahertz (3 × 1016 Hz to 3 × 1019 Hz) and energies in the range 120 eV to 120 keV. They are shorter in wavelength than UV rays and longer than gamma rays. In many languages, X-radiation is called Röntgen radiation."
Measure,Humidity,Absorption Spectroscopy,"Spectroscopic techniques that measure the absorption of radiation as a function of frequency or wavelength, due to its interaction with a sample."
Measure,Humidity,Bubble,"A globule of one substance in another, usually gas in a liquid. Due to the Marangoni effect, bubbles may remain intact when they reach the surface of the immersive substance."
Measure,Humidity,Capacitance,The property of a device or material medium to store an electric charge as a result of an electric potential. The most common form of charge storage device is a two-plate capacitor.
Measure,Humidity,Conduction (electrical),"The movement of electrically charged particles through a transmission medium (electrical conductor). The movement of charge constitutes an electric current. The charge transport may result as a response to an electric field, or as a result of a concentration gradient in carrier density, that is, by diffusion ."
Measure,Humidity,Conduction (thermal),"The spontaneous transfer of thermal energy through matter, from a region of higher temperature to a region of lower temperature. Conduction acts to equalize temperature differences. It is also described as heat energy transferred from one material to another by direct contact."
Measure,Humidity,Desiccant Material,A hygroscopic substance that induces or sustains a state of dryness (desiccation) in its local vicinity
Measure,Humidity,Dielectric Permittivity,"The measure of how much resistance is encountered when forming an electric field in a medium. In other words, permittivity is a measure of how an electric field affects, and is affected by, a dielectric medium. Permittivity is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or 'permit') an electric field."
Measure,Humidity,Earthing,"The connection of an electrical conductor to ground or earth. Used to provide a reference point in an electrical circuit from which other voltages are measured, or a common return path for electric current, or a direct physical connection to the Earth."
Measure,Humidity,Electric Spark,"A type of electrostatic discharge that occurs when an electric field creates an ionized electrically conductive channel in air producing a brief emission of light and sound. A spark is formed when the electric field strength exceeds the dielectric field strength of air. This causes an increase in the number of free electrons and ions in the air, temporarily causing the air to become an electrical conductor through dielectric breakdown."
Measure,Humidity,Electrical Resistance,The degree to which an object opposes an electric current flowing through it (usually measured in Ohms). A function of both its physical geometry and the resistivity of the material the object is made from.
Measure,Humidity,Electrostatic Discharge,The sudden and momentary electric current that flows between two objects at different electrical potentials
Measure,Humidity,Electrostatics,The phenomena arising from stationary or slowly moving electric charges
Measure,Humidity,Hydrates,"In organic chemistry, a hydrate is a compound formed by the addition of water or its elements to a host molecule. In inorganic chemistry, hydrates contain water molecules that are either bound to a metal center or crystallized with the metal complex. Such hydrates are also said to contain 'water of crystallisation' or 'water of hydration'."
Measure,Humidity,Hydrogel,"(also called aquagel) is a network of polymer chains that are hydrophilic, sometimes found as a colloidal gel in which water is the dispersion medium. Hydrogels are highly absorbent (they can contain over 99.9% water) natural or synthetic polymers. Hydrogels also possess a degree of flexibility very similar to natural tissue, due to their significant water content."
Measure,Humidity,Hygrometer,"An instrument used for measuring the moisture content in the environment. Humidity measurement instruments usually rely on measurements of some other quantity such as temperature, pressure, mass or a mechanical or electrical change in a substance as moisture is absorbed."
Measure,Humidity,Infrared Radiation,"Infrared (IR) radiation is electromagnetic radiation whose wavelength is longer than that of visible light (400-700 nm), but shorter than that of terahertz radiation (3-300 µm) and microwaves (~30,000 µm). Infrared radiation spans roughly three orders of magnitude (750 nm and 1000 µm)."
Measure,Humidity,Laser,A device that emits light (electromagnetic radiation) through a process called stimulated emission.
Measure,Humidity,Montmorillonite,"A very soft phyllosilicate mineral that typically forms in microscopic crystals, forming a clay. Montmorillonite's water content is variable and it increases greatly in volume when it absorbs water."
Measure,Humidity,Nanocomposite,"A multiphase solid material where one of the phases has one, two or three dimensions of less than 100 nanometers (nm), or structures having nano-scale repeat distances between the different phases that make up the material. Can include porous media, colloids, gels and copolymers, but is more usually taken to mean the solid combination of a bulk matrix and nano-dimensional phase(s)."
Measure,Humidity,Nanopore,"A small pore in an electrically insulating membrane, that can be used as a single-molecule detector. A nanopore is a Coulter counter for much smaller particles. It can be a biological protein channel in a lipid bilayer or a pore in a solid-state membrane. The detection principle is based on monitoring the ionic current of an electrolyte solution passing through the nanopore as a voltage is applied across the membrane."
Measure,Humidity,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Measure,Humidity,Physisorption,"(or physical adsorption) A type of adsorption in which the adsorbate adheres to the surface only through Van der Waals (weak intermolecular) interactions, which are also responsible for the non-ideal behaviour of real gases."
Measure,Humidity,Rayleigh Scattering,The elastic scattering of light or other electromagnetic radiation by particles much smaller than the wavelength of the light.
Measure,Humidity,Retroreflector,"A device or surface that reflects light, or other radiation, back to its source with minimum scattering."
Measure,Humidity,Scattering,"A general physical process where some forms of radiation, such as light, sound, or moving particles, are forced to deviate from a straight trajectory by one or more localized non-uniformities in the medium through which they pass (includes deviation of reflected radiation from the angle predicted by the law of reflection)."
Measure,Humidity,Speed of Sound,The distance traveled during a unit of time by a sound wave propagating through an elastic medium.
Measure,Humidity,Triboelectric Effect,"A type of contact electrification in which certain materials become electrically charged after they come into contact with another different material and are then separated (such as through rubbing). The polarity and strength of the charges produced differ according to the materials, surface roughness, temperature, strain, and other properties."
Measure,Humidity,Vapour Cone,"(also referred to as shock collar, or shock egg) The creation of a visible condensation cloud caused by a sudden drop in air pressure. Occurs under the right atmospheric conditions - for example by an aircraft traveling at transonic speeds."
Measure,Humidity,Vapour Pressure,"The pressure of a vapor in thermodynamic equilibrium with its condensed phases in a closed system. All liquids and solids have a tendency to evaporate into a gaseous form, and all gases have a tendency to condense back to their liquid or solid form."
Measure,Humidity,Vibrating String,"A vibrating string produces a sound whose frequency in most cases is constant. Therefore, since frequency characterizes the pitch, the sound produced is a constant note. Vibrating strings are the basis of any string instrument like guitar, cello, or piano."
Measure,Length,Absorption (EM radiation),"The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
Measure,Length,Archimedes' Principle (Buoyancy),"The upward force on an object produced by the surrounding liquid or gas in which it is fully or partially immersed, due to the pressure difference of the fluid between the top and bottom of the object. The net upward buoyancy force is equal to the magnitude of the weight of fluid displaced by the body. This force enables the object to float or at least to seem lighter."
Measure,Length,Auxetic Materials,"Materials which, when stretched, become thicker perpendicularly to the applied force, i.e. they have a negative Poisson's ratio. Such materials have interesting mechanical properties such as high energy absorption and fracture resistance. This may be useful in applications such as body armor, packing material, knee and elbow pads, robust shock absorbing material and sponge mops."
Measure,Length,Auxetic Structures,"Structures which, when stretched, become thicker perpendicularly to the applied force. That is, they have a negative Poisson's ratio. These can include composites, keyed-brick structures, microporous ploymers, auxetic foams or honeycombs."
Measure,Length,Bragg Diffraction,Diffraction from a three dimensional periodic structure such as atoms in a crystal. It is similar to what occurs when waves are scattered from a diffraction grating. Bragg diffraction is a consequence of interference between waves reflecting from different crystal planes.
Measure,Length,Capacitance,The property of a device or material medium to store an electric charge as a result of an electric potential. The most common form of charge storage device is a two-plate capacitor.
Measure,Length,Capillary Action,"(capillarity, capillary motion, wicking) The movement of a liquid relative to a substance in contact. A result of the adhesive intermolecular forces between the liquid and the substance being stronger (or weaker) than the cohesive intermolecular forces inside the liquid. Causes a concave (or concave) meniscus to form where the liquid touches the surface. Can cause raising or lowering (e.g. mercury in glass) of the liquid."
Measure,Length,Chain,A chain is a series of connected links.
Measure,Length,Corbino Effect,"A phenomenon similar to the Hall effect, but a disk-shaped metal sample plane of the disk, produces a 'circular' current through the disk."
Measure,Length,Coulomb's Law,The magnitude of the electrostatic force between two point electric charges is directly proportional to the product of the magnitudes of each charge and inversely proportional to the square of the distance between the charges.
Measure,Length,Depth of Field,"In optics, particularly as it relates to film and photography, depth of field is the distance between the nearest and farthest objects in a scene that appear acceptably sharp in an image."
Measure,Length,Dielectric Permittivity,"The measure of how much resistance is encountered when forming an electric field in a medium. In other words, permittivity is a measure of how an electric field affects, and is affected by, a dielectric medium. Permittivity is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or 'permit') an electric field."
Measure,Length,Diffraction,"Various phenomena which occur when a wave encounters an obstacle. It is described as the apparent bending of waves around small obstacles and the spreading out of waves past small openings. Very similar effects are observed when there is an alteration in the properties of the medium in which the wave is travelling, for example a variation in refractive index for light waves or in acoustic impedance for sound waves and these can also be referred to as diffraction effects."
Measure,Length,Diffraction Grating,"An optical component with a regular pattern, which splits (diffracts) light into several beams travelling in different directions. The directions of these beams depend on the spacing of the grating and the wavelength of the light so that the grating acts as a dispersive element. Because of this, gratings are commonly used in monochromators and spectrometers."
Measure,Length,Displacement,"Displacement occurs when an object is immersed in a fluid, pushing the fluid out of the way and taking its place. The volume of the fluid displaced is equal to the volume of the object imersed. An object that sinks, or is otherwise fully immersed, displaces an amount of fluid equal to its total volume."
Measure,Length,Echo,"A reflection of sound, arriving at the listener some time after the direct sound. Typical examples are the echo produced by the bottom of a well, by a building, or by the walls of an enclosed room. A true echo is a single reflection of the sound source. The time delay is the extra distance divided by the speed of sound."
Measure,Length,Electric Field,The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field (that can also be equated to electric flux density). This electric field exerts a force on other electrically charged objects.
Measure,Length,Electric Spark,"A type of electrostatic discharge that occurs when an electric field creates an ionized electrically conductive channel in air producing a brief emission of light and sound. A spark is formed when the electric field strength exceeds the dielectric field strength of air. This causes an increase in the number of free electrons and ions in the air, temporarily causing the air to become an electrical conductor through dielectric breakdown."
Measure,Length,Electrical Resistance,The degree to which an object opposes an electric current flowing through it (usually measured in Ohms). A function of both its physical geometry and the resistivity of the material the object is made from.
Measure,Length,Electroluminescence,"An optical phenomenon and electrical phenomenon in which a material emits light in response to an electric current passed through it, or to a strong electric field."
Measure,Length,Electrostatic Induction,"A redistribution of electrical charge in an object, caused by the influence of nearby charges. Electrostatic generators, such as the Wimshurst machine, the Van de Graaff generator and the electrophorus, use this principle. Electrostatic induction should not be confused with electromagnetic induction; both are often referred to as 'induction'."
Measure,Length,Fabry-Perot Interferometer,A system consisting of two parallel reflecting surfaces resulting in interference between the multiple reflections of light between the two reflecting surfaces. Also known as an Etalon.
Measure,Length,Falling Sphere Viscometer,"A method for measuring viscosity of a liquid. Stokes' law is the basis of the falling sphere viscometer, in which the fluid is stationary in a vertical glass tube. A sphere of known size and density is allowed to descend through the liquid. If correctly selected, it reaches terminal velocity, which can be measured by the time it takes to pass two marks on the tube."
Measure,Length,Focusing,"The gathering of wavefronts of a wave (e.g. radiation) into a spherical or cylindical shape. Focusing of light is used in optics, however focusing can be applied to any radiation or wave."
Measure,Length,Fresnel Diffraction,"(or near-field diffraction) A process of diffraction which occurs when a wave passes through an aperture and diffracts in the near field, causing any diffraction pattern observed to differ in size and shape, depending on the distance between the aperture and the projection. It occurs due to the short distance in which the diffracted waves propagate. When the distance is increased, outgoing diffracted waves become planar and Fraunhofer diffraction occurs."
Measure,Length,Fresnel Lens,"A lens using less material compared to a conventional spherical lens by breaking the lens into a set of concentric annular sections. For each of these, the overall thickness of the lens is decreased, breaking the continuous surface of a standard lens into a set of surfaces of the same curvature, with discontinuities between them. This reduces the thickness (and weight and volume) of the lens, at the expense of reducing the imaging quality."
Measure,Length,Geometry,"A part of mathematics concerned with questions of size, shape, and relative position of figures and with properties of space"
Measure,Length,Hall Effect,"The potential difference (Hall voltage) on the opposite sides of an electrical conductor through which there is an electric current, created by a magnetic field applied perpendicularly to the current."
Measure,Length,Helmholtz Resonance,"The phenomenon of air resonance in a cavity, such as when one blows across the top of an empty bottle."
Measure,Length,Hooke's Law,Hooke's law of elasticity is an approximation that states that the extension of a spring is in direct proportion with the load added to it as long as this load does not exceed the elastic limit. Materials for which Hooke's law is a useful approximation are known as linear-elastic or 'Hookean' materials.
Measure,Length,Image Processing,"Processing of images using mathematical operations by using any form of signal processing for which the input is an image, a series of images, or a video, such as a photograph or video frame The output of image processing may be either an image or a set of characteristics or parameters related to the image."
Measure,Length,Interference,"The addition (superposition) of two or more waves that result in a new wave pattern. As most commonly used, the term interference usually refers to the interaction of waves which are correlated or coherent with each other, either because they come from the same source or because they have the same or nearly the same frequency."
Measure,Length,Laser Surface Velocimeter,A non-contact optical sensor measuring velocity and length on moving surfaces. Laser surface velocimeters use the laser Doppler principle to evaluate the laser light scattered back from a moving object. They are widely used for process and quality control in industrial production processes.
Measure,Length,Lens,"An optical device with perfect or approximate axial symmetry which transmits and refracts light, converging or diverging the beam."
Measure,Length,Light,Light is electromagnetic radiation of a wavelength that is visible to the human eye (in a range from about 380 or 400 nanometres to about 760 or 780 nm)
Measure,Length,Magnetic Field,"A vector field which surrounds magnets and electric currents, and is detected by the force it exerts on moving electric charges and on magnetic materials. When placed in a magnetic field, magnetic dipoles tend to align their axes parallel to the magnetic field. Magnetic fields also have their own energy with an energy density proportional to the square of the field intensity."
Measure,Length,Microsphere,"Small spherical particles, with diameters in the micrometer range (typically 1µm to 1000µm (1mm)). They may be used to encapsulate and transport other substances and/or control their release."
Measure,Length,Moiré Effect,"An interference pattern created, for example, when two grids are overlaid at an angle, or when they have slightly different mesh sizes."
Measure,Length,Moiré Interferometry,A technique to study strains and deformations of structural elements with very high accuracy.
Measure,Length,Newton's Rings,"An interference pattern caused by the reflection of light between two surfaces - a spherical surface and an adjacent flat surface. When viewed with monochromatic light it appears as a series of concentric, alternating light and dark rings centered at the point of contact between the two surfaces. When viewed with white light, it forms a concentric ring pattern of rainbow colors because the different wavelengths of light interfere at different thicknesses of the air layer between the surfaces."
Measure,Length,Ohmmeter,An electrical instrument that measures electrical resistance.
Measure,Length,Optical Fibre,A fibre (typically made of glass or plastic) that carries light along its length
Measure,Length,Parallax,"An apparent displacement or difference in the apparent position of an object viewed along two different lines of sight, and is measured by the angle or semi-angle of inclination between those two lines. Nearby objects have a larger parallax than more distant objects when observed from different positions, so parallax can be used to determine distances."
Measure,Length,Photogrammetry,The practice of determining the geometric properties of objects from photographic images.
Measure,Length,Photography,"The process, activity and art of creating still pictures by recording radiation on a radiation-sensitive medium, such as a photographic film, or electronic image sensors."
Measure,Length,Photon Sieve,"A device for focusing light using diffraction and interference. It consists of a flat sheet of material full of pinholes that are arranged in a pattern which is similar to the rings in a Fresnel zone plate, but a sieve brings light to much sharper focus than a zone plate."
Measure,Length,Plenoptic Camera,(also called a light-field camera) A camera that uses a microlens array to capture 4D light field information about a scene. Such light field information can be used to improve the solution of computer graphics and vision-related problems.
Measure,Length,Porosimetry,"An analytical technique used to determine various quantifiable aspects of a material's porous nature, such as pore diameter, total pore volume, surface area, and bulk and absolute densities. Involves the intrusion of a non-wetting liquid (often mercury) at high pressure into a material through the use of a porosimeter. The pore size can be determined based on the external pressure needed to force the liquid into a pore against the opposing force of the liquid's surface tension."
Measure,Length,Rayleigh Scattering,The elastic scattering of light or other electromagnetic radiation by particles much smaller than the wavelength of the light.
Measure,Length,Reflection,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves."
Measure,Length,Resonance,"The tendency of a system to oscillate with larger amplitude at some frequencies than at others. These are known as the system's resonant frequencies. At these frequencies, even small periodic driving forces can produce large amplitude oscillations, because the system stores vibrational energy."
Measure,Length,Retroreflector,"A device or surface that reflects light, or other radiation, back to its source with minimum scattering."
Measure,Length,Rubber Band Thermodynamics,"Stretching a rubber band will cause it to release heat, while releasing it after it has been stretched will lead it to absorb heat, causing its surroundings to become cooler. Heating causes a rubber band to contract, and cooling causes expansion."
Measure,Length,Scanning Probe Microscopy,"A branch of microscopy that forms images of surfaces using a physical probe that scans the specimen. An image of the surface is obtained by mechanically moving the probe in a raster scan of the specimen, line by line, and recording the probe-surface interaction as a function of position."
Measure,Length,Screw,A helical inclined plane. A screw can convert a rotational force (torque) to a linear force and vice versa.
Measure,Length,Shadow,"An area where direct light (or other radiation) from a source cannot reach due to obstruction by an object. The cross section of a shadow is a two-dimensional silhouette, or reverse projection of the object blocking the light (or radiation)."
Measure,Length,Shadowgraph,"An optical method that reveals non-uniformities in transparent media like air, water, or glass. In principle, we cannot directly see a difference in temperature, a different gas, or a shock wave in the transparent air. However, these disturbances refract light rays, so they can cast shadows. The plume of hot air rising from a fire, for example, can be seen by way of its shadow cast upon a nearby surface by the uniform sunlight."
Measure,Length,Solar Energy,Collection or use of energy from the Sun.
Measure,Length,Sonomicrometry,A technique for measuring the distance between piezoelectric crystals based on the speed of acoustic signals through the medium they are embedded in. One crystal is used to generate a sound pulse which travels across the gap and is detected by the other crystal - the time taken is used to calculate the distance between the crystals.
Measure,Length,Speed of Sound,The distance traveled during a unit of time by a sound wave propagating through an elastic medium.
Measure,Length,Spring,An elastic object used to store mechanical energy.
Measure,Length,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Measure,Length,Time of Flight,"A variety of methods that measure the time that it takes for an object, particle or acoustic, electromagnetic or other wave to travel a distance through a medium. This measurement can be used for a time standard (such as an atomic fountain), as a way to measure velocity or path length through a given medium, or as a way to learn about the particle or medium (such as composition or flow rate)."
Measure,Length,Tyndall Effect,Light scattering by colloidal particles or particles in suspension
Measure,Length,Ultrasound,"Cyclic sound pressure with a frequency greater than the upper limit of human hearing. Although this limit varies from person to person, 20 kHz serves as a useful lower limit in describing ultrasound."
Measure,Length,Vibrating String,"A vibrating string produces a sound whose frequency in most cases is constant. Therefore, since frequency characterizes the pitch, the sound produced is a constant note. Vibrating strings are the basis of any string instrument like guitar, cello, or piano."
Measure,Length,Wedge,"A triangular shaped tool, a compound and portable inclined plane. It can be used to separate two objects, or portions of objects, lift an object, or hold an object in place. It operates by converting a force applied to the wide end into forces perpendicular to the inclined surfaces."
