action,object,result,result_description
Protect,Solid,Rheopecty,"(or rheopexy) The rare property of some non-Newtonian fluids to show a time-dependent change in viscosity; the longer the fluid undergoes shearing force, the higher its viscosity. Rheopectic fluids, such as some lubricants, thicken or solidify when shaken (the opposite type of behaviour, in which fluids become less viscous the longer they undergo shear, is called thixotropy and is much more common)."
Protect,Solid,Shape Memory Alloy,"An alloy that 'remembers' its original, cold-forged shape: returning the pre-deformed shape by heating. This material is a lightweight, solid-state alternative to conventional actuators such as hydraulic, pneumatic, and motor-based systems."
Protect,Solid,Shape Memory Polymer,"Polymeric smart materials that have the ability to return from a deformed state (temporary shape) to their original (permanent) shape induced by an external stimulus, such as temperature change. SMPs can retain two or sometimes three shapes, and the transition between those is induced by temperature, electric field, or magnetic field, light or solution."
Protect,Solid,Shear Thickening,(or Dilitant) The property of a material for which viscosity increases with the rate of shear. Such a shear thickening fluid is an example of a non-Newtonian fluid.
Protect,Solid,Shunt,"In electronics, a shunt is a device which allows electric current to pass around another point in the circuit."
Protect,Solid,Sol,"A colloidal suspension of solid particles (1-500 nanometres in size) in a liquid. Examples include blood, pigmented ink, and paint."
Protect,Solid,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Protect,Solid,Sorption,"The action of both absorption and adsorption taking place simultaneously, i.e. the effect of gases or liquids being incorporated into a material of a different state and adhering to the surface of another molecule. Absorption is the incorporation of a substance in one state into another of a different state (e.g., liquids absorbed by solid or gas absorbed by liquid). Adsorption is the physical adherence or bonding of ions and molecules onto the surface of another molecule."
Protect,Solid,Supersaturation,A solution that contains more of the dissolved material than could be dissolved by the solvent under normal circumstances. It can also refer to a vapour of a compound that has a higher (partial) pressure than the vapour pressure of that compound.
Protect,Solid,Suspension,"A heterogeneous fluid containing solid particles that are sufficiently large for sedimentation. Usually they must be larger than 1 micrometer. The internal phase (solid) is dispersed throughout the external phase (fluid - which may be liquid or gas) through mechanical agitation, with the use of certain excipients or suspending agents."
Protect,Solid,Thermal Insulation,"Materials used to reduce the rate of heat transfer, or the methods and processes used to reduce heat transfer."
Protect,Solid,Thin Films,Thin material layers ranging from fractions of a nanometre to several micrometres in thickness. Electronic semiconductor devices and optical coatings are the main applications benefiting from thin film construction.
Protect,Solid,Tuned Mass Damper,"A device to stabilise against violent motion caused by harmonic vibration. A tuned damper reduces the vibration of a system with a comparatively lightweight component so that the worst-case vibrations are less intense. Roughly speaking practical systems are tuned to either move the main mode away from a troubling excitation frequency, or to add damping to a resonance that is difficult or expensive to damp directly. ."
Protect,Solid,Vacuum,"A volume of space that is essentially empty of matter, such that its gaseous pressure is much less than atmospheric pressure. A perfect vacuum would be one with no particles in it at all, which is impossible to achieve in practice. Physicists often discuss ideal test results that would occur in a perfect vacuum, which they simply call 'vacuum' or 'free space', and use the term partial vacuum to refer to real vacuum."
Protect,Solid,Vacuum Plasma Spraying,"(VPS) A technology for etching and surface modification to create porous layers with high reproductibility and for cleaning and surface engineering of plastics, rubbers and natural fibres. This surface engineering can improve properties such as frictional behaviour, heat resistance, surface electrical conductivity, lubricity, cohesive strength of films, or dielectric constant, or it can make materials hydrophilic or hydrophobic."
Protect,Solid,Vitrification,"The transformation of a substance into a glass. Usually, it is achieved by rapdily cooling a liquid through the glass transition. Certain chemical reactions also result in glasses."
Purify,Divided Solid,Absorption (EM radiation),"The process by which the energy of a photon is taken up by matter, typically the electrons of an atom. The electromagnetic energy is transformed to another form of energy, e.g. to heat."
Purify,Divided Solid,Absorption (physical),"A physical or chemical phenomenon or a process in which atoms, molecules, or ions enter some bulk phase - gas, liquid or solid material. This is a different from Adsorption, since the molecules are taken up by the volume, not by surface."
Purify,Divided Solid,Activated Alumina,A manufactured form of alumina (aluminium oxide) having a nanoporous structure.
Purify,Divided Solid,Activated Carbon,"(or activated charcoal, activated coal, carbo activatus) A form of carbon processed to be riddled with small, low-volume pores that increase the surface area available for adsorption or chemical reactions. Due to its high degree of microporosity, just one gram of activated carbon has a surface area in excess of 500 square meters. An activation level sufficient for useful application may be attained solely from high surface area; however, further chemical treatment often enhances adsorption properties."
Purify,Divided Solid,Adhesive,"A compound that adheres or bonds two items together. Adhesives may come from either natural or synthetic sources. Some modern adhesives are extremely strong, and are becoming increasingly important in modern construction and industry."
Purify,Divided Solid,Adsorption,"A process that occurs when a gas or liquid solute accumulates on the surface of a solid or a liquid (adsorbent), forming a film of molecules or atoms (the adsorbate). Most industrial adsorbents fall into one of three classes: 1. Oxygen-containing compounds (e.g.silica gel and zeolites 2. Carbon-based compounds (e.g. activated carbon and graphite) 3. Polymer-based compounds"
Purify,Divided Solid,Anaerobic Digestion,A series of processes in which microorganisms break down biodegradable material in the absence of oxygen. It is widely used to treat wastewater sludges and organic wastes because it provides volume and mass reduction of the input material.
Purify,Divided Solid,Brazil Nut Effect,A phenomenon in which the largest particles end up on the surface when a granular material containing a mixture of objects of different sizes is shaken. Also known as the muesli effect.
Purify,Divided Solid,Centrifugal Force,"An outward force associated with rotation. Centrifugal force is one of several so-called pseudo-forces (or inertial forces), so named because, unlike real forces, they do not originate in interactions with other bodies situated in the environment of the particle upon which they act. Instead, centrifugal force originates in the rotation of the frame of reference within which observations are made."
Purify,Divided Solid,Centrifugal Separation,"A process that involves the use of the centrifugal force for the separation of mixtures, used in industry and in laboratory settings. More-dense components of the mixture migrate away from the axis of the centrifuge, while less-dense components of the mixture migrate towards the axis."
Purify,Divided Solid,Chemical Transport Reactions,"A process for purification and crystallisation of non-volatile solids. Entails the reversible conversion of nonvolatile elements and chemical compounds into volatile derivatives. The volatile derivative migrates throughout a sealed reactor, typically a sealed, evacuated glass tube heated in a tube furnace. Elsewhere in the tube where the temperature is held at a different temperature, the volatile derivative reverts to the parent solid and the transport agent is released."
Purify,Divided Solid,Chromatography,"A family of laboratory techniques for the separation of mixtures. It involves passing a mixture dissolved in a 'mobile phase' through a stationary phase, which separates the analyte to be measured from other molecules in the mixture and allows it to be isolated. Chromatography may be preparative or analytical."
Purify,Divided Solid,Combustion,"(or burning) A complex sequence of exothermic chemical reactions between a fuel and an oxidant accompanied by the production of heat or both heat and light in the form of either a glow or flames. Direct combustion by atmospheric oxygen is a reaction mediated by radical intermediates typically produced as a result of thermal runaway, where the heat generated by combustion is necessary to maintain the high temperature necessary for radical production."
Purify,Divided Solid,Convection,"The movement of molecules within fluids (i.e. liquids, gases) and rheids. One of the major modes of heat transfer and mass transfer. Convective heat and mass transfer take place through both diffusion (random Brownian motion) and by advection (transport by the larger-scale motion of currents). Note that a common use of the term convection refers specifically to heat transfer by convection, as opposed to convection in general."
Purify,Divided Solid,Crystallisation,"The (natural or artificial) process of formation of solid crystals precipitating from a identical solution or melt, or more rarely deposited directly from a gas. Crystallisation is also a chemical solid-liquid separation technique, in which mass transfer of a solute from the liquid solution to a pure solid crystalline phase occurs."
Purify,Divided Solid,Cyclone Separation,"A method of removing particulates from an air, gas or water stream, without the use of filters, through vortex separation. Rotational effects and gravity are used to separate mixtures of solids and fluids."
Purify,Divided Solid,Decomposition (biological),The break down of tissue of a formerly living organism into simpler forms of matter.
Purify,Divided Solid,Deflagration,"A technical term describing subsonic combustion that usually propagates through thermal conductivity (hot burning material heats the next layer of cold material and ignites it). Most 'fire' found in daily life, from flames to explosions, is technically deflagration. Deflagration is different from detonation (which is supersonic and propagates through shock compression)."
Purify,Divided Solid,Density Gradient,Variation of density across an area or through a volume.
Purify,Divided Solid,Desiccant Material,A hygroscopic substance that induces or sustains a state of dryness (desiccation) in its local vicinity
Purify,Divided Solid,Desorption,"A phenomenon whereby a substance is released from or through a surface. The process is the opposite of sorption (i.e adsorption and absorption). This occurs in a system being in the state of sorption equilibrium between bulk phase (fluid, i.e. gas or liquid solution) and an adsorbing surface (solid or boundary separating two fluids). When the concentration (or pressure) of substance in the bulk phase is lowered, some of the sorbed substance changes to the bulk state."
Purify,Divided Solid,Diffusion,The movement of particles from a high concentration to a low concentration.
Purify,Divided Solid,Eddy Currents,An electrical phenomenon caused when a conductor is exposed to a changing magnetic field due to relative motion of the field source and conductor; or due to variations of the field with time. This can cause eddys of circulating current within the conductor which create electromagnets with magnetic fields that opposes the change of the magnetic field.
Purify,Divided Solid,Electropermanent Magnet,"A type of magnet which consists of both an electromagnet and a dual material permanent magnet, in which the magnetic field produced by the electromagnet is used to change the magnetisation of the permanent magnet. Allows creating controllable permanent magnets where the magnetic effect can be maintained without requiring a continuous supply of electrical energy."
Purify,Divided Solid,Electrophoresis,The motion of dispersed particles relative to a fluid under the influence of an electric field.
Purify,Divided Solid,Enzyme,"Proteins that catalyze (i.e., increase the rates of) chemical reactions. Almost all chemical reactions in a biological cell need enzymes in order to occur at rates sufficient for life. Enzymes differ from most other catalysts in that they are highly specific for their substrates"
Purify,Divided Solid,Exothermic Reaction,"An exothermic reaction is a chemical reaction accompanied by the release of heat. In other words, the energy needed for the reaction to occur is less than the total energy released. As a result of this, the extra energy is released, usually in the form of heat."
Purify,Divided Solid,Fermentation,"In an industrial context, fermentation refers to the breakdown of organic substances and re-assembly into other substances. Somewhat paradoxically, fermenter culture in industrial capacity often refers to highly oxygenated and aerobic growth conditions, whereas fermentation in the biochemical context is a strictly anaerobic process."
Purify,Divided Solid,Filter (physical),"A device (usually a membrane or layer) that is designed to block certain objects or substances while letting others through. Filters are often used to remove harmful substances from air or water, for example to remove air pollution, to make water drinkable, to prepare coffee. In domestic food and drink preparation where bulk solids are removed from liquids, this is often called a strainer."
Purify,Divided Solid,Freeze Drying,(also known as lyophilisation or cryodesiccation) A dehydration process performed by freezing a material and then reducing the surrounding pressure and adding enough heat to allow the frozen water in the material to sublime directly from the solid phase to gas.
Purify,Divided Solid,Froth Floatation,"A process for selectively separating hydrophobic materials from hydrophilic. Finely ground raw material is mixed with water to form a slurry. The desired mineral is rendered hydrophobic by the addition of a surfactant or collector chemical. The slurry is there areated (e.g by air or nitrogen). The hydrophobic particles attach to the air bubbles, which rise to the surface, forming a froth which can be removed for further refining."
Purify,Divided Solid,Gettering,"A process for removal of impurities by reacting them with or attracting them to a suitable agent or part of the system (a 'getter'), with the result that their harmful effect is eliminated. Gettering originated in vaccuum tubes, where Ti was used to getter trace remnant gasses. Gettering is important today for the removal of unwanted trace elements (typically metals) from Silicon integrated circuits."
Purify,Divided Solid,Halbach Array,"A special arrangement of permanent magnets that augments the magnetic field on one side of the array while cancelling the field to near zero on the other side. Has many applications ranging from the humble refrigerator magnet through industrial applications such as the brushless AC motor and magnetic coupling, to high-tech applications such as wiggler magnets used in particle accelerators and free electron lasers."
Purify,Divided Solid,Light,Light is electromagnetic radiation of a wavelength that is visible to the human eye (in a range from about 380 or 400 nanometres to about 760 or 780 nm)
Purify,Divided Solid,Magnetic Field,"A vector field which surrounds magnets and electric currents, and is detected by the force it exerts on moving electric charges and on magnetic materials. When placed in a magnetic field, magnetic dipoles tend to align their axes parallel to the magnetic field. Magnetic fields also have their own energy with an energy density proportional to the square of the field intensity."
Purify,Divided Solid,Magnetism,"One of the phenomena by which materials exert attractive or repulsive forces on other materials. Some well-known materials that exhibit easily detectable magnetic properties (called magnets) are nickel, iron, cobalt, and their alloys; however, all materials are influenced to greater or lesser degree by the presence of a magnetic field."
Purify,Divided Solid,Ostwald Ripening,"An observed phenomenon in solid solutions or liquid sols that describes the change of an inhomogeneous structure over time, i.e., small crystals or sol particles dissolve, and redeposit onto larger crystals or sol particles. Occurs because larger particles are more energetically favored than smaller particles. This stems from the fact that molecules on the surface of a particle are energetically less stable than the ones in the interior. Ostwald ripening is also observed in liquid-liquid systems, causing diffusion of monomers (i.e. individual molecules or atoms) from smaller droplets to larger droplets due to greater solubility of the single monomer molecules in the larger monomer droplets."
Purify,Divided Solid,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Purify,Divided Solid,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Purify,Divided Solid,Photophoresis,The phenomenon that small particles suspended in gas (aerosols) or liquids (hydrocolloids) starts to migrate when illuminated by a sufficiently intense beam of light. The existence of this phenomenon is owed to a non-uniform distribution of temperature of an illuminated particle in a fluid medium.
Purify,Divided Solid,Porosity,The quality of being porous - i.e. having voids or spaces within a solid substance within or through which fluids can be present.
Purify,Divided Solid,Redox Reactions,"Redox (shorthand for oxidation-reduction) reactions describe all chemical reactions in which atoms have their oxidation number (oxidation state) changed. This can be either a simple redox process, such as the oxidation of carbon to yield carbon dioxide (CO2) or the reduction of carbon by hydrogen to yield methane (CH4), or a complex process such as the oxidation of sugar(C6H12O6) in the human body through a series of complex electron transfer processes."
Purify,Divided Solid,Reverse Brazil Nut Effect,"Under certain conditions the reverse of the Brazil Nut Effect (granular separation) can occur i.e. following vibration or agitation large beads fall to the bottom of a container, and small beads rising to the top of the container."
Purify,Divided Solid,Solar Energy,Collection or use of energy from the Sun.
Purify,Divided Solid,Sorption,"The action of both absorption and adsorption taking place simultaneously, i.e. the effect of gases or liquids being incorporated into a material of a different state and adhering to the surface of another molecule. Absorption is the incorporation of a substance in one state into another of a different state (e.g., liquids absorbed by solid or gas absorbed by liquid). Adsorption is the physical adherence or bonding of ions and molecules onto the surface of another molecule."
Purify,Divided Solid,Sublimation,The change of the physical state of aggregation (or simply state) of matter directly from solid phase to gaseous phase without passing through an intermediate liquid phase.
Purify,Divided Solid,Supercritical Fluid Extraction,"Process for separating one component (the extractant) from another (the matrix) using supercritical fluids as the extracting solvent. Extraction is usually from a solid matrix, but can be from liquids. Can be used for sample preparation for analytical purposes, or on a larger scale to strip unwanted material from a product (e.g. decaffeination) or collect a desired product (e.g. essential oils)."
Purify,Divided Solid,Superhydrophilicity,"Under light irradiation, water dropped onto titanium dioxide forms no contact angle (almost 0 degrees). This effect is called superhydrophilicity. Examples of uses: defogging glass, enabling oil spots to be swept away by water, door mirrors for cars, coatings for buildings, self-cleaning glass, etc. Another use is the property of self-cleaning by the photodecomposition of dirt such as organic compounds adsorbed on the surface."
Purify,Divided Solid,Thermal Radiation,Electromagnetic radiation emitted from the surface of an object due to the object's temperature.
Purify,Divided Solid,Thermophoresis,(also called thermodiffusion or Soret Effect) The effect of temperature gradient on multicomponent (or isotopic) mixtures of particles (i.e. particle movement from hotter to colder regions or vice versa). Regarded as 'positive' when molecules move from hot to cold and 'negative' when the reverse is true. Typically the heavier/larger species in a mixture exhibits positive behavior while the lighter/smaller species exhibit negative.
Purify,Field,Filter (electronic),"Electronic circuits which perform signal processing functions, specifically intended to remove unwanted signal components and/or enhance wanted ones."
Purify,Field,Filter (optical),"Optical filters selectively transmits light having certain properties (often, a particular range of wavelengths, that is, range of colours of light), while blocking the remainder. Optical filters, generally, belong to one of two categories. The simplest, physically, is the absorptive filter, while the latter category, that of interference or dichroic filters, can be quite complex."
Purify,Field,Heterodyne,"In radio and signal processing, heterodyning is the generation of new frequencies by mixing, or multiplying, two oscillating waveforms. It is useful for modulation and demodulation of signals, or placing information of interest into a useful frequency range."
Purify,Field,Lyot Filter,A type of optical filter that uses birefringence to produce a narrow passband of transmitted wavelengths
Purify,Field,Photoluminescence,"A process in which a substance absorbs photons (electromagnetic radiation) and then re-radiates photons. Quantum mechanically, this can be described as an excitation to a higher energy state and then a return to a lower energy state accompanied by the emission of a photon. One of many forms of luminescence (light emission) and is distinguished by photoexcitation (excitation by photons)."
Purify,Field,Refraction,"The change in direction of a wave due to a change in its speed. This is most commonly observed when a wave passes from one medium to another at any angle other than 90° or 0°. Refraction of light is the most commonly observed phenomenon, but any type of wave can refract when it interacts with a medium, for example when sound waves pass from one medium into another or when water waves move into water of a different depth."
Purify,Gas,Activated Alumina,A manufactured form of alumina (aluminium oxide) having a nanoporous structure.
Purify,Gas,Activated Carbon,"(or activated charcoal, activated coal, carbo activatus) A form of carbon processed to be riddled with small, low-volume pores that increase the surface area available for adsorption or chemical reactions. Due to its high degree of microporosity, just one gram of activated carbon has a surface area in excess of 500 square meters. An activation level sufficient for useful application may be attained solely from high surface area; however, further chemical treatment often enhances adsorption properties."
Purify,Gas,Adsorption,"A process that occurs when a gas or liquid solute accumulates on the surface of a solid or a liquid (adsorbent), forming a film of molecules or atoms (the adsorbate). Most industrial adsorbents fall into one of three classes: 1. Oxygen-containing compounds (e.g.silica gel and zeolites 2. Carbon-based compounds (e.g. activated carbon and graphite) 3. Polymer-based compounds"
Purify,Gas,Ceramic Foam,"A tough foam made from ceramics. Used in a variety of applications such as thermal insulation, acoustic insulation, absorption of environmental pollutants, filtration of molten metal alloys, and as substrate for catalysts requiring large internal surface area. Has been used as stiff lightweight structural material, specifically for support of reflecting telescope mirrors."
Purify,Gas,Chromatography,"A family of laboratory techniques for the separation of mixtures. It involves passing a mixture dissolved in a 'mobile phase' through a stationary phase, which separates the analyte to be measured from other molecules in the mixture and allows it to be isolated. Chromatography may be preparative or analytical."
Purify,Gas,Crystallisation,"The (natural or artificial) process of formation of solid crystals precipitating from a identical solution or melt, or more rarely deposited directly from a gas. Crystallisation is also a chemical solid-liquid separation technique, in which mass transfer of a solute from the liquid solution to a pure solid crystalline phase occurs."
Purify,Gas,Cyclone Separation,"A method of removing particulates from an air, gas or water stream, without the use of filters, through vortex separation. Rotational effects and gravity are used to separate mixtures of solids and fluids."
Purify,Gas,Electret,"An Electret is a dielectric material that has a quasi-permanent electric charge or dipole polarisation. An electret generates internal and external electric fields, and is the electrostatic equivalent of a permanent magnet."
Purify,Gas,Electrophoresis,The motion of dispersed particles relative to a fluid under the influence of an electric field.
Purify,Gas,Enzyme,"Proteins that catalyze (i.e., increase the rates of) chemical reactions. Almost all chemical reactions in a biological cell need enzymes in order to occur at rates sufficient for life. Enzymes differ from most other catalysts in that they are highly specific for their substrates"
Purify,Gas,Fermentation,"In an industrial context, fermentation refers to the breakdown of organic substances and re-assembly into other substances. Somewhat paradoxically, fermenter culture in industrial capacity often refers to highly oxygenated and aerobic growth conditions, whereas fermentation in the biochemical context is a strictly anaerobic process."
Purify,Gas,Filter (physical),"A device (usually a membrane or layer) that is designed to block certain objects or substances while letting others through. Filters are often used to remove harmful substances from air or water, for example to remove air pollution, to make water drinkable, to prepare coffee. In domestic food and drink preparation where bulk solids are removed from liquids, this is often called a strainer."
Purify,Gas,Fractionation,"A separation process in which a certain quantity of a mixture (solid, liquid, solute, suspension or isotope) is divided up in a number of smaller quantities (fractions) in which the composition changes according to a gradient. Fractions are collected based on differences in a specific property of the individual components."
Purify,Gas,Freezing,"A phase change in which a liquid turns into a solid when its temperature is lowered below its freezing point. Colloquially it is applied to water, but technically it applies to any liquid. All known liquids, except liquid helium, freeze when the temperature is lowered enough."
Purify,Gas,Gettering,"A process for removal of impurities by reacting them with or attracting them to a suitable agent or part of the system (a 'getter'), with the result that their harmful effect is eliminated. Gettering originated in vaccuum tubes, where Ti was used to getter trace remnant gasses. Gettering is important today for the removal of unwanted trace elements (typically metals) from Silicon integrated circuits."
Purify,Gas,Lamella,"A gill-shaped structure: fine sheets of material held adjacent to one another, often with fluid in-between. They appear in biological and engineering contexts, such as filters and heat exchangers. The microscopic structures in bone and nacre are lamellae in the materials science sense of the word."
Purify,Gas,Metal Foam,"A cellular structure consisting of a solid metal, frequently aluminium, containing a large volume fraction of gas-filled pores. The pores can be sealed (closed-cell foam), or they can form an interconnected network (open-cell foam)."
Purify,Gas,Metal Organic Framework,"(or MOF). A class of cordination polymers consisting of metal ions or clusters coordinated to organic ligands to form 1, 2 or 3-dimensional structures with the special feature that they are often porous. MOFs are of interest for the storage of gases such as hydrogen and carbon dioxide. Other possible applications of MOFs are in gas purification, gas separation, catalysis, as sensors and as supercapacitors."
Purify,Gas,Molecular Sieve,A material containing tiny pores of a precise and uniform size that is used as an adsorbent for gases and liquids.
Purify,Gas,Permeation,"The penetration of a permeate (such as a liquid, gas, or vapour) through a solid. The permeate always migrates to the lower concentration in three steps: 1. Sorption (at the interface); 2. Diffusion (through the solid); 3. Desorption (the adsorbate leaves the solid as a gas)."
Purify,Gas,Phase Change,"The transformation of a thermodynamic system from one phase to another. Most commonly used to describe transitions between solid, liquid and gaseous states of matter, in rare cases including plasma."
Purify,Gas,Physisorption,"(or physical adsorption) A type of adsorption in which the adsorbate adheres to the surface only through Van der Waals (weak intermolecular) interactions, which are also responsible for the non-ideal behaviour of real gases."
Purify,Gas,Pressure Swing Adsorption,"A technology used to separate some gas species from a mixture of gases under pressure according to the species' molecular characteristics and affinity for an adsorbent material. Special adsorptive materials (e.g., zeolites) are used as a molecular sieve, preferentially adsorbing the target gas species at high pressure. The process then swings to low pressure to desorb the adsorbent material."
Purify,Gas,Redox Reactions,"Redox (shorthand for oxidation-reduction) reactions describe all chemical reactions in which atoms have their oxidation number (oxidation state) changed. This can be either a simple redox process, such as the oxidation of carbon to yield carbon dioxide (CO2) or the reduction of carbon by hydrogen to yield methane (CH4), or a complex process such as the oxidation of sugar(C6H12O6) in the human body through a series of complex electron transfer processes."
Purify,Gas,Reduction,"A chemical reaction that involves the gain of electrons or a decrease in the oxidation state by a molecule, atom or ion."
Purify,Gas,Reticulated Foam,"A very porous, low density solid foam. Reticulated foams are extremely open foams i.e. there are few, if any, intact bubbles or cell windows. In contrast, the foam formed by soap bubbles is composed solely of intact (fully enclosed) bubbles. In a reticulated foam only the linear boundaries where the bubbles meet remain."
Purify,Gas,Semipermeable Membrane,"A membrane that will allow certain molecules or ions to pass through it by diffusion (and occasionally specialized facilitated diffusion). The rate of passage depends on the pressure, concentration, and temperature of the molecules or solutes on either side, as well as the permeability of the membrane to each solute."
Purify,Gas,Solvation,"(commonly called dissolution) The process of attraction and association of molecules of a solvent with molecules or ions of a solute. As ions dissolve in a solvent they spread out and become surrounded by solvent molecules. The bigger the ion, the more solvent molecules are able to surround it and the more it becomes solvated."
Purify,Gas,Sorption,"The action of both absorption and adsorption taking place simultaneously, i.e. the effect of gases or liquids being incorporated into a material of a different state and adhering to the surface of another molecule. Absorption is the incorporation of a substance in one state into another of a different state (e.g., liquids absorbed by solid or gas absorbed by liquid). Adsorption is the physical adherence or bonding of ions and molecules onto the surface of another molecule."
Purify,Gas,Sponge,A tool or cleaning aid consisting of porous material.
Purify,Gas,Zeolite,"Microporous, aluminosilicate minerals commonly used as commercial adsorbents. Widely used in industry for water purification, as catalysts, for the preparation of advanced materials and in nuclear reprocessing."
Purify,Liquid,Acoustic Cavitation,"Cavitation induced by an acoustic field. Microscopic gas bubbles which are generally present in a liquid will be forced to oscillate due to an applied acoustic field. If the acoustic intensity is sufficiently high, the bubbles will first grow in size, and then rapidly collapse. High power ultrasonics usually use the inertial cavitation of microscopic vacuum bubbles for treatment of surfaces, liquids and slurries."
Purify,Liquid,Activated Alumina,A manufactured form of alumina (aluminium oxide) having a nanoporous structure.
Purify,Liquid,Activated Carbon,"(or activated charcoal, activated coal, carbo activatus) A form of carbon processed to be riddled with small, low-volume pores that increase the surface area available for adsorption or chemical reactions. Due to its high degree of microporosity, just one gram of activated carbon has a surface area in excess of 500 square meters. An activation level sufficient for useful application may be attained solely from high surface area; however, further chemical treatment often enhances adsorption properties."
Purify,Liquid,Adsorption,"A process that occurs when a gas or liquid solute accumulates on the surface of a solid or a liquid (adsorbent), forming a film of molecules or atoms (the adsorbate). Most industrial adsorbents fall into one of three classes: 1. Oxygen-containing compounds (e.g.silica gel and zeolites 2. Carbon-based compounds (e.g. activated carbon and graphite) 3. Polymer-based compounds"
Purify,Liquid,Cavitation,"The formation of vapour bubbles in a flowing liquid in a region where the pressure of the liquid falls below its vapour pressure. Usually divided into two classes of behavior. Inertial (or transient) cavitation occurs when a void or bubble in a liquid rapidly collapses, producing a shock wave. Non-inertial cavitation is the process in which a bubble in a fluid is forced to oscillate in size or shape due to energy input, e.g. acoustic field."
Purify,Liquid,Ceramic Foam,"A tough foam made from ceramics. Used in a variety of applications such as thermal insulation, acoustic insulation, absorption of environmental pollutants, filtration of molten metal alloys, and as substrate for catalysts requiring large internal surface area. Has been used as stiff lightweight structural material, specifically for support of reflecting telescope mirrors."
Purify,Liquid,Chromatography,"A family of laboratory techniques for the separation of mixtures. It involves passing a mixture dissolved in a 'mobile phase' through a stationary phase, which separates the analyte to be measured from other molecules in the mixture and allows it to be isolated. Chromatography may be preparative or analytical."
Purify,Liquid,Coprecipitation,The carrying down by a precipitate of substances normally soluble under the conditions employed.
Purify,Liquid,Crystallisation,"The (natural or artificial) process of formation of solid crystals precipitating from a identical solution or melt, or more rarely deposited directly from a gas. Crystallisation is also a chemical solid-liquid separation technique, in which mass transfer of a solute from the liquid solution to a pure solid crystalline phase occurs."
Purify,Liquid,Cyclone Separation,"A method of removing particulates from an air, gas or water stream, without the use of filters, through vortex separation. Rotational effects and gravity are used to separate mixtures of solids and fluids."
Purify,Liquid,Distillation,A method of separating mixtures based on differences in their volatilities in a boiling liquid mixture.
Purify,Liquid,Electroosmotic Pump,"(or EO pump) Used for removing liquid flooding water from channels and gas diffusion layers and direct hydration of the proton exchange membrane in the membrane electrode assembly (MEA) of the proton exchange membrane fuel cells. Fabricated from silica nanospheres or hydrophilic porous glass, the pumping mechanism is generated by an external electric field applied on an electric double layer"
Purify,Liquid,Electropermanent Magnet,"A type of magnet which consists of both an electromagnet and a dual material permanent magnet, in which the magnetic field produced by the electromagnet is used to change the magnetisation of the permanent magnet. Allows creating controllable permanent magnets where the magnetic effect can be maintained without requiring a continuous supply of electrical energy."
Purify,Liquid,Electrophoresis,The motion of dispersed particles relative to a fluid under the influence of an electric field.
Purify,Liquid,Enzyme,"Proteins that catalyze (i.e., increase the rates of) chemical reactions. Almost all chemical reactions in a biological cell need enzymes in order to occur at rates sufficient for life. Enzymes differ from most other catalysts in that they are highly specific for their substrates"
Purify,Liquid,Evaporation,The change of the physical state of aggregation (or simply state) of matter from liquid phase to gaseous phase.
Purify,Liquid,Fermentation,"In an industrial context, fermentation refers to the breakdown of organic substances and re-assembly into other substances. Somewhat paradoxically, fermenter culture in industrial capacity often refers to highly oxygenated and aerobic growth conditions, whereas fermentation in the biochemical context is a strictly anaerobic process."
Purify,Liquid,Filter (physical),"A device (usually a membrane or layer) that is designed to block certain objects or substances while letting others through. Filters are often used to remove harmful substances from air or water, for example to remove air pollution, to make water drinkable, to prepare coffee. In domestic food and drink preparation where bulk solids are removed from liquids, this is often called a strainer."
Purify,Liquid,Flash Evaporation,"Flash (or partial) evaporation is the partial vaporisation that occurs when a saturated liquid stream undergoes a reduction in pressure by passing through a throttling valve or other throttling device. If the throttling valve or device is located at the entry into a pressure vessel so that the flash evaporation occurs within the vessel, then the vessel is often referred to as a flash drum."
Purify,Liquid,Flocculation,A process of contact and adhesion whereby the particles of a dispersion form larger-size clusters.
Purify,Liquid,Fractionation,"A separation process in which a certain quantity of a mixture (solid, liquid, solute, suspension or isotope) is divided up in a number of smaller quantities (fractions) in which the composition changes according to a gradient. Fractions are collected based on differences in a specific property of the individual components."
Purify,Liquid,Freezing,"A phase change in which a liquid turns into a solid when its temperature is lowered below its freezing point. Colloquially it is applied to water, but technically it applies to any liquid. All known liquids, except liquid helium, freeze when the temperature is lowered enough."
Purify,Liquid,Gettering,"A process for removal of impurities by reacting them with or attracting them to a suitable agent or part of the system (a 'getter'), with the result that their harmful effect is eliminated. Gettering originated in vaccuum tubes, where Ti was used to getter trace remnant gasses. Gettering is important today for the removal of unwanted trace elements (typically metals) from Silicon integrated circuits."
Purify,Liquid,Hydrodynamic Cavitation,"The process of vaporisation, bubble generation and bubble implosion which occurs in a flowing liquid as a result of a decrease and subsequent increase in local pressure."
